x,f(x)
0.897,0.7773
0.898,0.778
0.899,0.7786
0.9,0.7792
0.901,0.7796
0.902,0.78
0.903,0.7803
0.904,0.7806
0.905,0.7808
0.906,0.7811
0.907,0.7814
0.908,0.7818
0.909,0.7823
0.91,0.7828
0.911,0.7834
0.912,0.7841
0.913,0.7848
0.914,0.7856
0.915,0.7864
0.916,0.7872
0.917,0.7879
0.918,0.7886
0.919,0.7892
0.92,0.7897
0.921,0.7901
0.922,0.7904
0.923,0.7907
0.924,0.7909
0.925,0.7912
0.926,0.7914
0.927,0.7917
0.928,0.792
0.929,0.7924
0.93,0.7929
0.931,0.7934
0.932,0.7941
0.933,0.7948
0.934,0.7955
0.935,0.7962
0.936,0.797
0.937,0.7977
0.938,0.7983
0.939,0.7988
0.94,0.7993
0.941,0.7997
0.942,0.8
0.943,0.8002
0.944,0.8004
0.945,0.8006
0.946,0.8008
0.947,0.801
0.948,0.8013
0.949,0.8016
0.95,0.8021
0.951,0.8026
0.952,0.8032
0.953,0.8038
0.954,0.8045
0.955,0.8052
0.956,0.8059
0.957,0.8065
0.958,0.8071
0.959,0.8076
0.96,0.808
0.961,0.8084
0.962,0.8086
0.963,0.8088
0.964,0.809
0.965,0.8091
0.966,0.8092
0.967,0.8094
0.968,0.8096
0.969,0.8099
0.97,0.8103
0.971,0.8108
0.972,0.8113
0.973,0.8119
0.974,0.8126
0.975,0.8132
0.976,0.8139
0.977,0.8144
0.978,0.815
0.979,0.8154
0.98,0.8158
0.981,0.8161
0.982,0.8163
0.983,0.8164
0.984,0.8165
0.985,0.8166
0.986,0.8167
0.987,0.8169
0.988,0.8171
0.989,0.8173
0.99,0.8177
0.991,0.8182
0.992,0.8187
0.993,0.8192
0.994,0.8198
0.995,0.8204
0.996,0.8209
0.997,0.8214
0.998,0.8217
0.999,0.822
1,0.822
