x,f(x)
0.386,-1.394e-05
0.387,1.36e-06
0.388,1.656e-05
0.389,3.019e-05
0.39,4.092e-05
0.391,4.77e-05
0.392,4.987e-05
0.393,4.721e-05
0.394,3.995e-05
0.395,2.881e-05
0.396,1.484e-05
0.397,-5.984e-07
0.398,-1.601e-05
0.399,-2.991e-05
0.4,-4.093e-05
0.401,-4.801e-05
0.402,-5.045e-05
0.403,-4.799e-05
0.404,-4.087e-05
0.405,-2.977e-05
0.406,-1.575e-05
0.407,-1.768e-07
0.408,1.546e-05
0.409,2.962e-05
0.41,4.095e-05
0.411,4.833e-05
0.412,5.104e-05
0.413,4.88e-05
0.414,4.182e-05
0.415,3.077e-05
0.416,1.67e-05
0.417,9.775e-07
0.418,-1.488e-05
0.419,-2.932e-05
0.42,-4.096e-05
0.421,-4.865e-05
0.422,-5.164e-05
0.423,-4.962e-05
0.424,-4.278e-05
0.425,-3.177e-05
0.426,-1.765e-05
0.427,-1.784e-06
0.428,1.43e-05
0.429,2.903e-05
0.43,4.099e-05
0.431,4.9e-05
0.432,5.227e-05
0.433,5.048e-05
0.434,4.378e-05
0.435,3.283e-05
0.436,1.865e-05
0.437,2.635e-06
0.438,-1.368e-05
0.439,-2.871e-05
0.44,-4.099e-05
0.441,-4.932e-05
0.442,-5.288e-05
0.443,-5.132e-05
0.444,-4.478e-05
0.445,-3.387e-05
0.446,-1.964e-05
0.447,-3.463e-06
0.448,1.309e-05
0.449,2.842e-05
0.45,4.104e-05
0.451,4.971e-05
0.452,5.357e-05
0.453,5.226e-05
0.454,4.586e-05
0.455,3.501e-05
0.456,2.072e-05
0.457,4.392e-06
0.458,-1.241e-05
0.459,-2.804e-05
0.46,-4.1e-05
0.461,-5.001e-05
0.462,-5.418e-05
0.463,-5.31e-05
0.464,-4.686e-05
0.465,-3.605e-05
0.466,-2.171e-05
0.467,-5.21e-06
0.468,1.185e-05
0.469,2.781e-05
0.47,4.112e-05
0.471,5.049e-05
0.472,5.498e-05
0.473,5.417e-05
0.474,4.809e-05
0.475,3.734e-05
0.476,2.295e-05
0.477,6.287e-06
0.478,-1.102e-05
0.479,-2.73e-05
0.48,-4.097e-05
0.481,-5.069e-05
0.482,-5.55e-05
0.483,-5.493e-05
0.484,-4.901e-05
0.485,-3.831e-05
0.486,-2.383e-05
0.487,-6.99e-06
0.488,1.06e-05
0.489,2.723e-05
0.49,4.129e-05
0.491,5.14e-05
0.492,5.657e-05
0.493,5.628e-05
0.494,5.055e-05
0.495,3.992e-05
0.496,2.541e-05
0.497,8.403e-06
0.498,-9.44e-06
0.499,-2.64e-05
0.5,-4.081e-05
0.501,-5.128e-05
0.502,-5.677e-05
0.503,-5.673e-05
0.504,-5.114e-05
0.505,-4.054e-05
0.506,-2.592e-05
0.507,-8.7e-06
0.508,9.467e-06
0.509,2.682e-05
0.51,4.167e-05
0.511,5.258e-05
0.512,5.848e-05
0.513,5.877e-05
0.514,5.342e-05
0.515,4.292e-05
0.516,2.83e-05
0.517,1.094e-05
0.518,-7.458e-06
0.519,-2.512e-05
0.52,-4.032e-05
0.521,-5.156e-05
0.522,-5.775e-05
0.523,-5.826e-05
0.524,-5.301e-05
0.525,-4.25e-05
0.526,-2.771e-05
0.527,-1.006e-05
0.528,8.742e-06
0.529,2.689e-05
0.53,4.262e-05
0.531,5.441e-05
0.532,6.11e-05
0.533,6.204e-05
0.534,5.711e-05
0.535,4.68e-05
0.536,3.208e-05
0.537,1.438e-05
0.538,-4.581e-06
0.539,-2.296e-05
0.54,-3.896e-05
0.541,-5.1e-05
0.542,-5.79e-05
0.543,-5.895e-05
0.544,-5.402e-05
0.545,-4.355e-05
0.546,-2.853e-05
0.547,-1.038e-05
0.548,9.16e-06
0.549,2.821e-05
0.55,4.494e-05
0.551,5.772e-05
0.552,6.533e-05
0.553,6.702e-05
0.554,6.263e-05
0.555,5.257e-05
0.556,3.782e-05
0.557,1.983e-05
0.558,3.445e-07
0.559,-1.872e-05
0.56,-3.55e-05
0.561,-4.831e-05
0.562,-5.588e-05
0.563,-5.741e-05
0.564,-5.272e-05
0.565,-4.22e-05
0.566,-2.682e-05
0.567,-8.016e-06
0.568,1.243e-05
0.569,3.257e-05
0.57,5.05e-05
0.571,6.449e-05
0.572,7.322e-05
0.573,7.587e-05
0.574,7.218e-05
0.575,6.256e-05
0.576,4.794e-05
0.577,2.98e-05
0.578,9.916e-06
0.579,-9.718e-06
0.58,-2.714e-05
0.581,-4.059e-05
0.582,-4.868e-05
0.583,-5.053e-05
0.584,-4.588e-05
0.585,-3.508e-05
0.586,-1.908e-05
0.587,6.77e-07
0.588,2.235e-05
0.589,4.394e-05
0.59,6.343e-05
0.591,7.902e-05
0.592,8.925e-05
0.593,9.323e-05
0.594,9.063e-05
0.595,8.179e-05
0.596,6.766e-05
0.597,4.969e-05
0.598,2.975e-05
0.599,9.878e-06
0.6,-7.859e-06
0.601,-2.159e-05
0.602,-2.983e-05
0.603,-3.159e-05
0.604,-2.654e-05
0.605,-1.496e-05
0.606,2.2e-06
0.607,2.348e-05
0.608,4.702e-05
0.609,7.071e-05
0.61,9.246e-05
0.611,0.0001103
0.612,0.0001228
0.613,0.0001289
0.614,0.0001281
0.615,0.0001208
0.616,0.0001078
0.617,9.076e-05
0.618,7.147e-05
0.619,5.209e-05
0.62,3.48e-05
0.621,2.156e-05
0.622,1.4e-05
0.623,1.319e-05
0.624,1.958e-05
0.625,3.292e-05
0.626,5.23e-05
0.627,7.625e-05
0.628,0.0001028
0.629,0.0001299
0.63,0.0001552
0.631,0.0001767
0.632,0.0001928
0.633,0.0002022
0.634,0.0002047
0.635,0.0002003
0.636,0.00019
0.637,0.0001753
0.638,0.0001581
0.639,0.0001407
0.64,0.0001254
0.641,0.0001142
0.642,0.000109
0.643,0.0001109
0.644,0.0001204
0.645,0.0001374
0.646,0.000161
0.647,0.0001898
0.648,0.0002216
0.649,0.0002543
0.65,0.0002855
0.651,0.0003131
0.652,0.0003353
0.653,0.0003508
0.654,0.000359
0.655,0.0003602
0.656,0.0003552
0.657,0.0003456
0.658,0.0003333
0.659,0.0003207
0.66,0.0003102
0.661,0.0003042
0.662,0.0003044
0.663,0.0003121
0.664,0.0003282
0.665,0.0003524
0.666,0.0003839
0.667,0.0004212
0.668,0.0004622
0.669,0.0005046
0.67,0.000546
0.671,0.000584
0.672,0.0006167
0.673,0.0006427
0.674,0.0006614
0.675,0.0006728
0.676,0.0006779
0.677,0.0006782
0.678,0.0006757
0.679,0.0006731
0.68,0.0006727
0.681,0.000677
0.682,0.0006882
0.683,0.0007076
0.684,0.000736
0.685,0.0007735
0.686,0.0008192
0.687,0.0008716
0.688,0.0009286
0.689,0.0009877
0.69,0.001046
0.691,0.001102
0.692,0.001153
0.693,0.001197
0.694,0.001234
0.695,0.001264
0.696,0.001287
0.697,0.001305
0.698,0.001321
0.699,0.001337
0.7,0.001356
0.701,0.001379
0.702,0.001411
0.703,0.001451
0.704,0.001502
0.705,0.001563
0.706,0.001633
0.707,0.001712
0.708,0.001796
0.709,0.001883
0.71,0.00197
0.711,0.002056
0.712,0.002137
0.713,0.002212
0.714,0.00228
0.715,0.00234
0.716,0.002395
0.717,0.002445
0.718,0.002493
0.719,0.002541
0.72,0.002592
0.721,0.00265
0.722,0.002717
0.723,0.002793
0.724,0.002882
0.725,0.002982
0.726,0.003094
0.727,0.003215
0.728,0.003343
0.729,0.003476
0.73,0.003611
0.731,0.003745
0.732,0.003875
0.733,0.003999
0.734,0.004117
0.735,0.004229
0.736,0.004335
0.737,0.004437
0.738,0.004537
